terrain,position,pos_key,dist_mm,lights,lighting,exposure_ms,phase_deg,mean_dn,std_dn,frac_dark,frac_sat,coverage,med_err_mm,p75_err_mm,p95_err_mm,n_valid
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,NoSun,1024,,1.29,1.15,1.0,0.0,0.0002,,,,348
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,NoSun,128,,0.62,0.82,1.0,0.0,0.0007,,,,1053
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,NoSun,2048,,2.04,1.76,1.0,0.0,0.0009,,,,1346
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,NoSun,256,,0.73,0.84,1.0,0.0,0.0011,,,,1615
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,NoSun,32,,0.56,0.81,1.0,0.0,0.0008,,,,1168
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,NoSun,4096,,3.63,3.17,0.9996,0.0,0.0025,,,,3675
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,NoSun,512,,0.91,0.92,1.0,0.0,0.0014,,,,2037
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,NoSun,64,,0.56,0.81,1.0,0.0,0.0011,,,,1563
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,NoSun,8192,,5.9,5.84,0.9994,0.0,0.0004,,,,626
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_180,1024,174.79,1946.54,1243.94,0.0,0.1508,0.4013,22.22,33.85,107.64,586271
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_180,128,174.79,310.53,392.16,0.0,0.003,0.4635,22.99,34.95,114.5,677085
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_180,2048,174.79,2873.45,1139.24,0.0,0.3721,0.3495,23.72,39.22,280.78,510574
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_180,256,174.79,599.17,620.46,0.0,0.0091,0.4631,22.62,34.29,107.23,676486
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_180,32,174.79,79.22,129.21,0.432,0.0002,0.4463,23.5,35.57,92.34,652012
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_180,512,174.79,1130.19,967.72,0.0,0.0371,0.4401,21.7,32.84,90.68,642952
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_180,64,174.79,157.52,230.87,0.1242,0.0005,0.4577,23.27,35.11,110.16,668597
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_270,1024,91.35,768.47,928.46,0.0,0.0206,0.6974,12.21,27.54,79.81,1018833
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_270,128,91.35,100.85,146.63,0.491,0.0,0.6604,12.02,28.1,89.9,964747
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_270,2048,91.35,1334.65,1337.91,0.0,0.1061,0.7268,10.88,25.9,72.03,1061806
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_270,256,91.35,202.07,290.93,0.3579,0.0007,0.6732,12.24,28.22,96.19,983427
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_270,32,91.35,25.34,36.48,0.8007,0.0,0.6194,11.38,28.16,93.61,904783
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_270,512,91.35,399.8,533.0,0.0701,0.0029,0.6826,12.24,27.56,88.31,997213
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_270,64,91.35,50.43,73.21,0.6208,0.0,0.6437,11.83,28.29,96.14,940339
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_30,1024,24.01,2269.55,1431.34,0.0,0.2445,0.6148,19.62,33.8,100.7,898101
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_30,128,24.01,376.43,408.51,0.0722,0.0,0.7702,23.01,46.7,275.71,1125175
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_30,2048,24.01,3007.38,1361.0,0.0,0.528,0.5217,30.05,58.38,218.33,762139
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_30,256,24.01,735.99,727.05,0.0005,0.0169,0.7652,21.82,42.6,263.49,1117893
